date,open,high,low,close,volume
2025-01-01,0.57919,0.58860,0.47000,0.53669,3521100
2025-01-02,0.53669,0.55090,0.51000,0.53983,3521100
2025-01-03,0.53983,0.56060,0.52500,0.54669,3521100
2025-01-04,0.54390,0.57079,0.54000,0.55179,2510500
2025-01-05,0.55549,0.63000,0.55060,0.61050,5830100
2025-01-06,0.61359,0.70040,0.60079,0.67589,5986200
2025-01-09,0.68000,0.72070,0.67077,0.69519,3440100
2025-01-10,0.69659,0.71000,0.68553,0.69290,2558400
2025-01-11,0.69365,0.72550,0.68851,0.71502,2992800
2025-01-12,0.72030,0.74530,0.71550,0.73840,4873900
2025-01-13,0.73432,0.75565,0.70540,0.74014,3791900
2025-01-17,0.73570,0.75000,0.70044,0.71271,3659400
2025-01-18,0.70950,0.71572,0.70027,0.70547,2354200
2025-01-19,0.71000,0.71551,0.70532,0.70903,2540800
2025-01-20,0.71528,0.71802,0.70526,0.70933,3376200
2025-01-23,0.70679,0.72050,0.70308,0.71888,2797500
2025-01-24,0.72200,0.72598,0.71050,0.72144,2971700
2025-01-25,0.72578,0.74041,0.72028,0.73552,3922600
2025-01-26,0.73553,0.74884,0.73000,0.74015,3586300
2025-01-27,0.73900,0.74070,0.72544,0.73677,2998700
2025-01-30,0.73300,0.73550,0.71038,0.73138,3747300
2025-01-31,0.72375,0.73098,0.71855,0.72447,3137200
